chr	start	end	length
I	1	500000	0
I	500001	1000000	-2
I	1000001	1500000	0
I	1500001	2000000	0
I	2000001	2500000	0
I	2500001	3000000	0
I	3000001	3500000	0
I	3500001	4000000	-2
I	4000001	4500000	0
I	4500001	5000000	0
I	5000001	5500000	-4
I	5500001	6000000	0
I	6000001	6500000	0
I	6500001	7000000	0
I	7000001	7500000	0
I	7500001	8000000	-1
I	8000001	8500000	-2
I	8500001	9000000	-2
I	9000001	9500000	-2
I	9500001	10000000	-3
I	10000001	10500000	-3
I	10500001	11000000	-1
I	11000001	11500000	0
I	11500001	12000000	0
I	12000001	12500000	0
I	12500001	13000000	-2
I	13000001	13500000	0
I	13500001	14000000	0
I	14000001	14500000	0
I	14500001	15000000	0
I	15000001	15072434	0
II	1	500000	-5
II	500001	1000000	0
II	1000001	1500000	-3
II	1500001	2000000	0
II	2000001	2500000	0
II	2500001	3000000	0
II	3000001	3500000	-2
II	3500001	4000000	0
II	4000001	4500000	0
II	4500001	5000000	-6
II	5000001	5500000	-6
II	5500001	6000000	-5
II	6000001	6500000	-2
II	6500001	7000000	-2
II	7000001	7500000	-1
II	7500001	8000000	-1
II	8000001	8500000	-2
II	8500001	9000000	-1
II	9000001	9500000	-3
II	9500001	10000000	-5
II	10000001	10500000	-1
II	10500001	11000000	-2
II	11000001	11500000	-1
II	11500001	12000000	0
II	12000001	12500000	0
II	12500001	13000000	-1
II	13000001	13500000	-1
II	13500001	14000000	-6
II	14000001	14500000	0
II	14500001	15000000	0
II	15000001	15279421	-2
III	1	500000	0
III	500001	1000000	-3
III	1000001	1500000	0
III	1500001	2000000	0
III	2000001	2500000	0
III	2500001	3000000	0
III	3000001	3500000	-1
III	3500001	4000000	-1
III	4000001	4500000	-2
III	4500001	5000000	-4
III	5000001	5500000	0
III	5500001	6000000	0
III	6000001	6500000	-1
III	6500001	7000000	0
III	7000001	7500000	-2
III	7500001	8000000	-1
III	8000001	8500000	-1
III	8500001	9000000	0
III	9000001	9500000	-2
III	9500001	10000000	0
III	10000001	10500000	0
III	10500001	11000000	-1
III	11000001	11500000	-1
III	11500001	12000000	0
III	12000001	12500000	0
III	12500001	13000000	-2
III	13000001	13500000	-2
III	13500001	13783801	-1
IV	1	500000	0
IV	500001	1000000	-1
IV	1000001	1500000	-1
IV	1500001	2000000	-2
IV	2000001	2500000	0
IV	2500001	3000000	0
IV	3000001	3500000	0
IV	3500001	4000000	0
IV	4000001	4500000	-2
IV	4500001	5000000	0
IV	5000001	5500000	-7
IV	5500001	6000000	0
IV	6000001	6500000	-3
IV	6500001	7000000	0
IV	7000001	7500000	-5
IV	7500001	8000000	0
IV	8000001	8500000	-5
IV	8500001	9000000	-3
IV	9000001	9500000	0
IV	9500001	10000000	-4
IV	10000001	10500000	-3
IV	10500001	11000000	-3
IV	11000001	11500000	-8
IV	11500001	12000000	-3
IV	12000001	12500000	0
IV	12500001	13000000	-2
IV	13000001	13500000	0
IV	13500001	14000000	0
IV	14000001	14500000	-1
IV	14500001	15000000	0
IV	15000001	15500000	-1
IV	15500001	16000000	0
IV	16000001	16500000	0
IV	16500001	17000000	0
IV	17000001	17493829	0
V	1	500000	-1
V	500001	1000000	0
V	1000001	1500000	-1
V	1500001	2000000	0
V	2000001	2500000	0
V	2500001	3000000	0
V	3000001	3500000	0
V	3500001	4000000	-2
V	4000001	4500000	0
V	4500001	5000000	0
V	5000001	5500000	0
V	5500001	6000000	-2
V	6000001	6500000	0
V	6500001	7000000	0
V	7000001	7500000	-1
V	7500001	8000000	-2
V	8000001	8500000	-3
V	8500001	9000000	-10
V	9000001	9500000	0
V	9500001	10000000	-5
V	10000001	10500000	-5
V	10500001	11000000	-1
V	11000001	11500000	-2
V	11500001	12000000	-1
V	12000001	12500000	-2
V	12500001	13000000	-1
V	13000001	13500000	-4
V	13500001	14000000	0
V	14000001	14500000	0
V	14500001	15000000	0
V	15000001	15500000	0
V	15500001	16000000	0
V	16000001	16500000	-2
V	16500001	17000000	0
V	17000001	17500000	-1
V	17500001	18000000	0
V	18000001	18500000	0
V	18500001	19000000	-3
V	19000001	19500000	0
V	19500001	20000000	0
V	20000001	20500000	0
V	20500001	20924180	0
X	1	500000	0
X	500001	1000000	0
X	1000001	1500000	-4
X	1500001	2000000	0
X	2000001	2500000	-2
X	2500001	3000000	0
X	3000001	3500000	-2
X	3500001	4000000	0
X	4000001	4500000	-3
X	4500001	5000000	-1
X	5000001	5500000	-1
X	5500001	6000000	0
X	6000001	6500000	-4
X	6500001	7000000	-1
X	7000001	7500000	-1
X	7500001	8000000	-3
X	8000001	8500000	0
X	8500001	9000000	-1
X	9000001	9500000	-2
X	9500001	10000000	0
X	10000001	10500000	-3
X	10500001	11000000	0
X	11000001	11500000	-4
X	11500001	12000000	-2
X	12000001	12500000	-3
X	12500001	13000000	-1
X	13000001	13500000	-1
X	13500001	14000000	-1
X	14000001	14500000	0
X	14500001	15000000	-2
X	15000001	15500000	-1
X	15500001	16000000	-1
X	16000001	16500000	-1
X	16500001	17000000	0
X	17000001	17500000	-1
X	17500001	17718942	0
