chr	start	end	length
I	1	500000	-6
I	500001	1000000	-6
I	1000001	1500000	-4
I	1500001	2000000	-4
I	2000001	2500000	-7
I	2500001	3000000	-17
I	3000001	3500000	-5
I	3500001	4000000	-17
I	4000001	4500000	-13
I	4500001	5000000	-10
I	5000001	5500000	-5
I	5500001	6000000	-13
I	6000001	6500000	-18
I	6500001	7000000	-10
I	7000001	7500000	-7
I	7500001	8000000	-4
I	8000001	8500000	-10
I	8500001	9000000	-9
I	9000001	9500000	-11
I	9500001	10000000	-15
I	10000001	10500000	-11
I	10500001	11000000	-25
I	11000001	11500000	-44
I	11500001	12000000	-26
I	12000001	12500000	-95
I	12500001	13000000	-34
I	13000001	13500000	-42
I	13500001	14000000	-11
I	14000001	14500000	-36
I	14500001	15000000	-6
I	15000001	15072434	-2
II	1	500000	-13
II	500001	1000000	-68
II	1000001	1500000	-34
II	1500001	2000000	-140
II	2000001	2500000	-90
II	2500001	3000000	-78
II	3000001	3500000	-107
II	3500001	4000000	-69
II	4000001	4500000	-26
II	4500001	5000000	-26
II	5000001	5500000	-12
II	5500001	6000000	-25
II	6000001	6500000	-9
II	6500001	7000000	-13
II	7000001	7500000	-12
II	7500001	8000000	-6
II	8000001	8500000	-9
II	8500001	9000000	-7
II	9000001	9500000	-22
II	9500001	10000000	-29
II	10000001	10500000	-15
II	10500001	11000000	-8
II	11000001	11500000	-3
II	11500001	12000000	-20
II	12000001	12500000	-35
II	12500001	13000000	-41
II	13000001	13500000	-11
II	13500001	14000000	-28
II	14000001	14500000	-16
II	14500001	15000000	-17
II	15000001	15279421	-11
III	1	500000	-26
III	500001	1000000	-14
III	1000001	1500000	-53
III	1500001	2000000	-11
III	2000001	2500000	-36
III	2500001	3000000	-4
III	3000001	3500000	-5
III	3500001	4000000	-13
III	4000001	4500000	-13
III	4500001	5000000	-22
III	5000001	5500000	-5
III	5500001	6000000	-4
III	6000001	6500000	-2
III	6500001	7000000	-10
III	7000001	7500000	-14
III	7500001	8000000	-5
III	8000001	8500000	-10
III	8500001	9000000	-9
III	9000001	9500000	-9
III	9500001	10000000	-12
III	10000001	10500000	-12
III	10500001	11000000	-13
III	11000001	11500000	-11
III	11500001	12000000	-12
III	12000001	12500000	-12
III	12500001	13000000	-16
III	13000001	13500000	-14
III	13500001	13783801	-6
IV	1	500000	-17
IV	500001	1000000	-22
IV	1000001	1500000	-18
IV	1500001	2000000	-5
IV	2000001	2500000	-11
IV	2500001	3000000	-14
IV	3000001	3500000	-32
IV	3500001	4000000	-40
IV	4000001	4500000	-40
IV	4500001	5000000	-40
IV	5000001	5500000	-51
IV	5500001	6000000	-16
IV	6000001	6500000	-24
IV	6500001	7000000	-25
IV	7000001	7500000	-17
IV	7500001	8000000	-9
IV	8000001	8500000	-28
IV	8500001	9000000	-17
IV	9000001	9500000	-19
IV	9500001	10000000	-26
IV	10000001	10500000	-18
IV	10500001	11000000	-20
IV	11000001	11500000	-24
IV	11500001	12000000	-13
IV	12000001	12500000	-19
IV	12500001	13000000	-45
IV	13000001	13500000	-16
IV	13500001	14000000	-29
IV	14000001	14500000	-20
IV	14500001	15000000	-29
IV	15000001	15500000	-18
IV	15500001	16000000	-22
IV	16000001	16500000	-33
IV	16500001	17000000	-29
IV	17000001	17493829	-28
V	1	500000	-43
V	500001	1000000	-79
V	1000001	1500000	-13
V	1500001	2000000	-46
V	2000001	2500000	-98
V	2500001	3000000	-80
V	3000001	3500000	-105
V	3500001	4000000	-70
V	4000001	4500000	-49
V	4500001	5000000	-45
V	5000001	5500000	-39
V	5500001	6000000	-10
V	6000001	6500000	-11
V	6500001	7000000	-21
V	7000001	7500000	-64
V	7500001	8000000	-40
V	8000001	8500000	-13
V	8500001	9000000	-40
V	9000001	9500000	-19
V	9500001	10000000	-23
V	10000001	10500000	-19
V	10500001	11000000	-2
V	11000001	11500000	-16
V	11500001	12000000	-12
V	12000001	12500000	-9
V	12500001	13000000	-12
V	13000001	13500000	-11
V	13500001	14000000	-27
V	14000001	14500000	-52
V	14500001	15000000	-34
V	15000001	15500000	-95
V	15500001	16000000	-98
V	16000001	16500000	-111
V	16500001	17000000	-88
V	17000001	17500000	-98
V	17500001	18000000	-53
V	18000001	18500000	-79
V	18500001	19000000	-26
V	19000001	19500000	-61
V	19500001	20000000	-37
V	20000001	20500000	-29
V	20500001	20924180	-28
X	1	500000	-19
X	500001	1000000	-3
X	1000001	1500000	-11
X	1500001	2000000	-32
X	2000001	2500000	0
X	2500001	3000000	-1
X	3000001	3500000	-10
X	3500001	4000000	-9
X	4000001	4500000	-9
X	4500001	5000000	-2
X	5000001	5500000	-3
X	5500001	6000000	-2
X	6000001	6500000	-6
X	6500001	7000000	-1
X	7000001	7500000	-7
X	7500001	8000000	-3
X	8000001	8500000	-6
X	8500001	9000000	-18
X	9000001	9500000	-6
X	9500001	10000000	-7
X	10000001	10500000	-5
X	10500001	11000000	-3
X	11000001	11500000	-5
X	11500001	12000000	-15
X	12000001	12500000	-33
X	12500001	13000000	-8
X	13000001	13500000	-20
X	13500001	14000000	-5
X	14000001	14500000	-19
X	14500001	15000000	-15
X	15000001	15500000	-1
X	15500001	16000000	-7
X	16000001	16500000	-9
X	16500001	17000000	-6
X	17000001	17500000	-17
X	17500001	17718942	-4
