chr	start	end	length
I	1	500000	-19
I	500001	1000000	-22
I	1000001	1500000	-17
I	1500001	2000000	-20
I	2000001	2500000	-23
I	2500001	3000000	-28
I	3000001	3500000	-29
I	3500001	4000000	-38
I	4000001	4500000	-22
I	4500001	5000000	-21
I	5000001	5500000	-33
I	5500001	6000000	-39
I	6000001	6500000	-29
I	6500001	7000000	-46
I	7000001	7500000	-39
I	7500001	8000000	-35
I	8000001	8500000	-36
I	8500001	9000000	-47
I	9000001	9500000	-26
I	9500001	10000000	-40
I	10000001	10500000	-20
I	10500001	11000000	-32
I	11000001	11500000	-7
I	11500001	12000000	-12
I	12000001	12500000	-8
I	12500001	13000000	-19
I	13000001	13500000	-16
I	13500001	14000000	-16
I	14000001	14500000	-24
I	14500001	15000000	-31
I	15000001	15072434	-2
II	1	500000	-37
II	500001	1000000	-11
II	1000001	1500000	-13
II	1500001	2000000	-1
II	2000001	2500000	-3
II	2500001	3000000	-10
II	3000001	3500000	-5
II	3500001	4000000	-5
II	4000001	4500000	-14
II	4500001	5000000	-27
II	5000001	5500000	-30
II	5500001	6000000	-26
II	6000001	6500000	-47
II	6500001	7000000	-37
II	7000001	7500000	-42
II	7500001	8000000	-40
II	8000001	8500000	-44
II	8500001	9000000	-61
II	9000001	9500000	-37
II	9500001	10000000	-32
II	10000001	10500000	-33
II	10500001	11000000	-32
II	11000001	11500000	-38
II	11500001	12000000	-33
II	12000001	12500000	-15
II	12500001	13000000	-13
II	13000001	13500000	-22
II	13500001	14000000	-11
II	14000001	14500000	-26
II	14500001	15000000	-18
II	15000001	15279421	-5
III	1	500000	-22
III	500001	1000000	-26
III	1000001	1500000	-11
III	1500001	2000000	-13
III	2000001	2500000	-8
III	2500001	3000000	-23
III	3000001	3500000	-20
III	3500001	4000000	-32
III	4000001	4500000	-39
III	4500001	5000000	-46
III	5000001	5500000	-42
III	5500001	6000000	-39
III	6000001	6500000	-45
III	6500001	7000000	-14
III	7000001	7500000	-33
III	7500001	8000000	-21
III	8000001	8500000	-27
III	8500001	9000000	-38
III	9000001	9500000	-39
III	9500001	10000000	-33
III	10000001	10500000	-21
III	10500001	11000000	-35
III	11000001	11500000	-20
III	11500001	12000000	-25
III	12000001	12500000	-14
III	12500001	13000000	-23
III	13000001	13500000	-24
III	13500001	13783801	-21
IV	1	500000	-25
IV	500001	1000000	-17
IV	1000001	1500000	-12
IV	1500001	2000000	-14
IV	2000001	2500000	-15
IV	2500001	3000000	-15
IV	3000001	3500000	-14
IV	3500001	4000000	-20
IV	4000001	4500000	-15
IV	4500001	5000000	-21
IV	5000001	5500000	-23
IV	5500001	6000000	-17
IV	6000001	6500000	-16
IV	6500001	7000000	-19
IV	7000001	7500000	-32
IV	7500001	8000000	-45
IV	8000001	8500000	-29
IV	8500001	9000000	-18
IV	9000001	9500000	-31
IV	9500001	10000000	-30
IV	10000001	10500000	-43
IV	10500001	11000000	-37
IV	11000001	11500000	-38
IV	11500001	12000000	-37
IV	12000001	12500000	-39
IV	12500001	13000000	-15
IV	13000001	13500000	-39
IV	13500001	14000000	-9
IV	14000001	14500000	-5
IV	14500001	15000000	-15
IV	15000001	15500000	-3
IV	15500001	16000000	-4
IV	16000001	16500000	-2
IV	16500001	17000000	-2
IV	17000001	17493829	-23
V	1	500000	-8
V	500001	1000000	-4
V	1000001	1500000	-19
V	1500001	2000000	-9
V	2000001	2500000	-3
V	2500001	3000000	-11
V	3000001	3500000	-2
V	3500001	4000000	-9
V	4000001	4500000	-10
V	4500001	5000000	-19
V	5000001	5500000	-15
V	5500001	6000000	-37
V	6000001	6500000	-19
V	6500001	7000000	-31
V	7000001	7500000	-15
V	7500001	8000000	-22
V	8000001	8500000	-37
V	8500001	9000000	-28
V	9000001	9500000	-28
V	9500001	10000000	-31
V	10000001	10500000	-35
V	10500001	11000000	-45
V	11000001	11500000	-42
V	11500001	12000000	-41
V	12000001	12500000	-34
V	12500001	13000000	-36
V	13000001	13500000	-29
V	13500001	14000000	-31
V	14000001	14500000	-14
V	14500001	15000000	-27
V	15000001	15500000	-16
V	15500001	16000000	-4
V	16000001	16500000	-3
V	16500001	17000000	-4
V	17000001	17500000	0
V	17500001	18000000	-9
V	18000001	18500000	-2
V	18500001	19000000	-6
V	19000001	19500000	-9
V	19500001	20000000	-9
V	20000001	20500000	-12
V	20500001	20924180	-24
X	1	500000	-8
X	500001	1000000	-17
X	1000001	1500000	-7
X	1500001	2000000	-4
X	2000001	2500000	-32
X	2500001	3000000	-30
X	3000001	3500000	-35
X	3500001	4000000	-35
X	4000001	4500000	-29
X	4500001	5000000	-43
X	5000001	5500000	-43
X	5500001	6000000	-35
X	6000001	6500000	-35
X	6500001	7000000	-34
X	7000001	7500000	-34
X	7500001	8000000	-30
X	8000001	8500000	-32
X	8500001	9000000	-18
X	9000001	9500000	-19
X	9500001	10000000	-23
X	10000001	10500000	-28
X	10500001	11000000	-35
X	11000001	11500000	-41
X	11500001	12000000	-21
X	12000001	12500000	-24
X	12500001	13000000	-18
X	13000001	13500000	-23
X	13500001	14000000	-25
X	14000001	14500000	-12
X	14500001	15000000	-13
X	15000001	15500000	-26
X	15500001	16000000	-20
X	16000001	16500000	-16
X	16500001	17000000	-18
X	17000001	17500000	-19
X	17500001	17718942	-8
