chr	start	end	length
I	1	500000	-6
I	500001	1000000	-4
I	1000001	1500000	-8
I	1500001	2000000	-3
I	2000001	2500000	-5
I	2500001	3000000	-5
I	3000001	3500000	0
I	3500001	4000000	-3
I	4000001	4500000	-2
I	4500001	5000000	-5
I	5000001	5500000	-3
I	5500001	6000000	-4
I	6000001	6500000	-11
I	6500001	7000000	-6
I	7000001	7500000	-8
I	7500001	8000000	-3
I	8000001	8500000	-2
I	8500001	9000000	-2
I	9000001	9500000	-10
I	9500001	10000000	-7
I	10000001	10500000	-4
I	10500001	11000000	-9
I	11000001	11500000	-11
I	11500001	12000000	-4
I	12000001	12500000	-4
I	12500001	13000000	-3
I	13000001	13500000	-6
I	13500001	14000000	-3
I	14000001	14500000	-2
I	14500001	15000000	-1
I	15000001	15072434	0
II	1	500000	-5
II	500001	1000000	-8
II	1000001	1500000	-2
II	1500001	2000000	-2
II	2000001	2500000	-4
II	2500001	3000000	-7
II	3000001	3500000	-10
II	3500001	4000000	-11
II	4000001	4500000	-4
II	4500001	5000000	-5
II	5000001	5500000	-16
II	5500001	6000000	-14
II	6000001	6500000	-5
II	6500001	7000000	-9
II	7000001	7500000	-8
II	7500001	8000000	-3
II	8000001	8500000	-2
II	8500001	9000000	-6
II	9000001	9500000	-5
II	9500001	10000000	-18
II	10000001	10500000	-8
II	10500001	11000000	-4
II	11000001	11500000	-4
II	11500001	12000000	-5
II	12000001	12500000	-12
II	12500001	13000000	-9
II	13000001	13500000	-2
II	13500001	14000000	-8
II	14000001	14500000	-3
II	14500001	15000000	-8
II	15000001	15279421	-1
III	1	500000	-2
III	500001	1000000	-3
III	1000001	1500000	-3
III	1500001	2000000	0
III	2000001	2500000	0
III	2500001	3000000	-1
III	3000001	3500000	-4
III	3500001	4000000	-2
III	4000001	4500000	-3
III	4500001	5000000	-7
III	5000001	5500000	-4
III	5500001	6000000	-5
III	6000001	6500000	-10
III	6500001	7000000	-4
III	7000001	7500000	-4
III	7500001	8000000	-3
III	8000001	8500000	-3
III	8500001	9000000	-3
III	9000001	9500000	-8
III	9500001	10000000	-9
III	10000001	10500000	-10
III	10500001	11000000	0
III	11000001	11500000	-1
III	11500001	12000000	-9
III	12000001	12500000	-6
III	12500001	13000000	-3
III	13000001	13500000	-3
III	13500001	13783801	0
IV	1	500000	-3
IV	500001	1000000	-6
IV	1000001	1500000	-3
IV	1500001	2000000	-4
IV	2000001	2500000	-3
IV	2500001	3000000	-13
IV	3000001	3500000	-3
IV	3500001	4000000	-1
IV	4000001	4500000	-8
IV	4500001	5000000	-9
IV	5000001	5500000	-4
IV	5500001	6000000	-5
IV	6000001	6500000	-13
IV	6500001	7000000	-12
IV	7000001	7500000	-9
IV	7500001	8000000	-7
IV	8000001	8500000	-6
IV	8500001	9000000	-8
IV	9000001	9500000	-13
IV	9500001	10000000	-8
IV	10000001	10500000	-13
IV	10500001	11000000	-9
IV	11000001	11500000	-8
IV	11500001	12000000	-6
IV	12000001	12500000	-6
IV	12500001	13000000	-5
IV	13000001	13500000	-4
IV	13500001	14000000	-7
IV	14000001	14500000	-8
IV	14500001	15000000	-1
IV	15000001	15500000	-9
IV	15500001	16000000	-7
IV	16000001	16500000	-4
IV	16500001	17000000	-1
IV	17000001	17493829	-9
V	1	500000	-10
V	500001	1000000	-24
V	1000001	1500000	-5
V	1500001	2000000	-18
V	2000001	2500000	-7
V	2500001	3000000	-19
V	3000001	3500000	-13
V	3500001	4000000	-18
V	4000001	4500000	-21
V	4500001	5000000	-12
V	5000001	5500000	-16
V	5500001	6000000	-8
V	6000001	6500000	-7
V	6500001	7000000	-17
V	7000001	7500000	-21
V	7500001	8000000	-14
V	8000001	8500000	-14
V	8500001	9000000	-8
V	9000001	9500000	-22
V	9500001	10000000	-13
V	10000001	10500000	-20
V	10500001	11000000	-12
V	11000001	11500000	-19
V	11500001	12000000	-12
V	12000001	12500000	-18
V	12500001	13000000	-19
V	13000001	13500000	-17
V	13500001	14000000	-18
V	14000001	14500000	-17
V	14500001	15000000	-6
V	15000001	15500000	-17
V	15500001	16000000	-19
V	16000001	16500000	-23
V	16500001	17000000	-11
V	17000001	17500000	-3
V	17500001	18000000	-8
V	18000001	18500000	-2
V	18500001	19000000	-10
V	19000001	19500000	-9
V	19500001	20000000	-5
V	20000001	20500000	-1
V	20500001	20924180	-5
X	1	500000	-3
X	500001	1000000	-4
X	1000001	1500000	-2
X	1500001	2000000	-3
X	2000001	2500000	-4
X	2500001	3000000	0
X	3000001	3500000	-5
X	3500001	4000000	0
X	4000001	4500000	-3
X	4500001	5000000	0
X	5000001	5500000	-2
X	5500001	6000000	-1
X	6000001	6500000	-14
X	6500001	7000000	-6
X	7000001	7500000	-4
X	7500001	8000000	-5
X	8000001	8500000	-3
X	8500001	9000000	-2
X	9000001	9500000	-8
X	9500001	10000000	-4
X	10000001	10500000	-2
X	10500001	11000000	-3
X	11000001	11500000	-3
X	11500001	12000000	-10
X	12000001	12500000	-10
X	12500001	13000000	-6
X	13000001	13500000	-10
X	13500001	14000000	-9
X	14000001	14500000	-10
X	14500001	15000000	-1
X	15000001	15500000	-1
X	15500001	16000000	-3
X	16000001	16500000	-1
X	16500001	17000000	-1
X	17000001	17500000	-7
X	17500001	17718942	-1
